election,raw_name,clean_name
1996,MS. GONZALEZ,GONZALEZ
1996,MS. JOHNSON,JOHNSON
1996,MS. NAUDIN,NAUDIN
1996,MS. SANDERS,SANDERS
1996,MR. DAVID,DAVID
1996,MR. BURNS,BURNS
1996,MS. GIANNOTTI,GIANNOTI
1996,MR. GOLDFARB,GOLDFARB
1996,MS. STRATEGOS,STRATEGOS
1996,MS. O’CONNOR,OCONNER
1996,MS. SIEFERT,SIEFERT
1996,MR. SMITH,SMITH
1996,MR. KITE,KITE
1996,MS. DUBE,DUBE
2000,MODERATOR,MODERATOR
2000,GORE,GORE
2000,BUSH,GW_BUSH
2000,LIEBERMAN,LIEBERMAN
2000,CHENEY,CHENEY
2000,MEMBER OF AUDIENCE,AUDIENCE
2004,LEHRER,LEHRER
2004,KERRY,KERRY
2004,BUSH,GW_BUSH
2004,IFILL,IFILL
2004,CHENEY,CHENEY
2004,EDWARDS,EDWARDS
2004,GIBSON,GIBSON
2004,OTIS,OTIS
2004,DAHLE,DAHLE
2004,BALDI,BALDI
2004,WASHINGTON,WASHINGTON
2004,JACOBS,JACOBS
2004,FARLEY,FARLEY
2004,BRONSING,BRONSING
2004,HORSTMAN,HORSTMAN
2004,LAURENT,LAURENT
2004,O’BRIEN,OBRIEN
2004,VARNER,VARNER
2004,HUBB,HUBB
2004,BARROW,BARROW
2004,FOWLER,FOWLER
2004,LONG,LONG
2004,MICHAELSON,MICHAELSON
2004,DEGENHART,DEGENHART
2004,GRABEL,GRABEL
2004,SCHIEFFER,SCHIEFFER
2008,[*] LEHRER,LEHRER
2008,OBAMA,OBAMA
2008,LEHRER,LEHRER
2008,MCCAIN,MCCAIN
2008,[*] IFILL,IFILL
2008,PALIN,PALIN
2008,BIDEN,BIDEN
2008,IFILL,IFILL
2008,[*] BROKAW,BROKAW
2008,QUESTION,SCHAEFER
2008,BROKAW,BROKAW
2008,[*] SCHIEFFER,SCHIEFFER
2008,SCHIEFFER,SCHIEFFER
2012,LEHRER,LEHRER
2012,OBAMA,OBAMA
2012,ROMNEY,ROMNEY
2012,"MARTHA RADDATZ, MODERATOR[*]RADDATZ",RADDATZ
2012,RADDATZ,RADDATZ
2012,BIDEN,BIDEN
2012,RYAN,RYAN
2012,[*]CROWLEY,CROWLEY
2012,CROWLEY,CROWLEY
2012,QUESTION,AUDIENCE
2012,[*]SCHIEFFER,SCHIEFFER
2012,SCHIEFFER,SCHIEFFER
2012,ROMNEHY,ROMNEY
2012,OBAM,OBAMA
2012,UNIDENTIFIED MALE,AUDIENCE
2016,HOLT,HOLT
2016,CLINTON,H_CLINTON
2016,TRUMP,TRUMP
2016,QUIJANO,QUIJANO
2016,KAINE,KAINE
2016,PENCE,PENCE
2016,RADDATZ,RADDATZ
2016,COOPER,COOPER
2016,QUESTION,AUDIENCE
2016,WALLACE,WALLACE
